video,joint,frame_since_strike,cycle_mean_deg,norm_mean_deg,delta_deg,inlier_cycle_count,total_cycle_count,max_cycle_length
1,right_ankle,69,116.5597778882372,8.754957831325298,107.80482005691191,6,7,166
1,right_ankle,70,116.4731630620201,8.168710843373493,108.30445221864662,6,7,166
1,right_ankle,71,116.36069222992808,7.533018072289156,108.82767415763892,6,7,166
1,right_ankle,72,116.22629487305454,6.860891566265062,109.36540330678947,6,7,166
1,right_ankle,73,116.07399790082415,6.121746987951806,109.95225091287234,6,7,166
1,right_ankle,74,115.90836744846433,5.361289156626501,110.54707829183783,6,7,166
1,right_ankle,75,115.73460524914627,4.55259036144578,111.18201488770049,6,7,166
1,right_ankle,76,115.55728703953332,3.7159156626505983,111.84137137688272,6,7,166
1,right_ankle,77,115.38126815732568,2.855927710843365,112.52534044648232,6,7,166
1,right_ankle,78,115.21088249310394,1.9627831325301135,113.24809936057382,6,7,166
1,right_ankle,79,115.05031315697231,1.0593614457831282,113.99095171118918,6,7,166
1,right_ankle,80,114.90409498925266,0.13377108433734763,114.7703239049153,6,7,166
1,right_ankle,81,114.7751343897922,-0.7998072289156657,115.57494161870787,6,7,166
1,right_ankle,82,114.66620294889997,-1.7409036144578396,116.4071065633578,6,7,166
1,right_ankle,83,114.58050522477136,-2.6850000000000067,117.26550522477136,6,7,166
1,right_ankle,84,114.52026846243042,-3.628325301204823,118.14859376363525,6,7,166
1,right_ankle,85,114.48636818769471,-4.564650602409639,119.05101879010435,6,7,166
1,right_ankle,86,114.48005178959026,-5.49143373493976,119.97148552453002,6,7,166
1,right_ankle,87,114.50252160265883,-6.408078313253019,120.91059991591185,6,7,166
1,right_ankle,88,114.55304225092964,-7.299180722891571,121.85222297382121,6,7,166
1,right_ankle,89,114.63124910039289,-8.178500000000003,122.80974910039289,6,7,166
1,right_ankle,90,114.73647421478319,-9.02,123.75647421478318,6,7,166
1,right_ankle,91,114.86805037460688,-9.836289156626506,124.70433953123339,6,7,166
1,right_ankle,92,115.02449095039431,-10.622325301204825,125.64681625159913,6,7,166
1,right_ankle,93,115.20459046741723,-11.356873493975908,126.56146396139314,6,7,166
1,right_ankle,94,115.40538308399421,-12.068698795180724,127.47408187917493,6,7,166
1,right_ankle,95,115.62467425040256,-12.709216867469879,128.33389111787244,6,7,166
1,right_ankle,96,115.85964264898945,-13.311530120481928,129.17117276947138,6,7,166
1,right_ankle,97,116.10749591646169,-13.861993975903617,129.96948989236532,6,7,166
1,right_ankle,98,116.36544813846926,-14.335783132530123,130.7012312709994,6,7,166
1,right_ankle,99,116.63061689276662,-14.775656626506025,131.40627351927264,6,7,166
1,right_ankle,100,116.89969802000252,-15.110228915662654,132.00992693566516,6,7,166
1,right_ankle,101,117.16988099033581,-15.400162650602413,132.57004364093822,6,7,166
1,right_ankle,102,117.43831878773511,-15.62142168674699,133.0597404744821,6,7,166
1,right_ankle,103,117.70100883564305,-15.766975903614458,133.4679847392575,6,7,166
1,right_ankle,104,117.95535060734362,-15.878698795180723,133.83404940252433,6,7,166
1,right_ankle,105,118.19850062348382,-15.895993975903615,134.09449459938745,6,7,166
1,right_ankle,106,118.42689718393659,-15.880975903614457,134.30787308755106,6,7,166
1,right_ankle,107,118.63727435187155,-15.809409638554216,134.44668399042578,6,7,166
1,right_ankle,108,118.827584928896,-15.681722891566265,134.50930782046225,6,7,166
1,right_ankle,109,118.99529777694771,-15.527710843373493,134.5230086203212,6,7,166
1,right_ankle,110,119.13802925901831,-15.301084337349396,134.43911359636772,6,7,166
1,right_ankle,111,119.25260074178668,-15.053385542168673,134.30598628395535,6,7,166
1,right_ankle,112,119.3380866263061,-14.763542168674697,134.1016287949808,6,7,166
1,right_ankle,113,119.39187711215867,-14.43728313253012,133.82916024468878,6,7,166
1,right_ankle,114,119.41336507540099,-14.09197590361446,133.50534097901544,6,7,166
1,right_ankle,115,119.40183149475583,-13.701674698795179,133.103506193551,6,7,166
1,right_ankle,116,119.35665716289718,-13.299060240963852,132.65571740386102,6,7,166
1,right_ankle,117,119.27758012898988,-12.870259036144578,132.14783916513446,6,7,166
1,right_ankle,118,119.16455551397956,-12.423530120481924,131.5880856344615,6,7,166
1,right_ankle,119,119.01724896457911,-11.966102409638548,130.98335137421765,6,7,166
1,right_ankle,120,118.83625046472565,-11.490554216867466,130.3268046815931,6,7,166
